id,name,height,weight,hp,attack,defense,s_attack,s_defense,speed,type,evo_set,info,total_stats,physical_bias,offensive_bias,stat_variance,weight_height_ratio,evo_set_size,hp_category,attack_category,defense_category,s_attack_category,s_defense_category,speed_category,total_stats_category
535,tympole,5,45,50,50,40,50,40,64,{water},273,They warn others of danger by vibrating their cheeks to create a high-pitched sound.,294,1.0,1.25,65.0,9.0,3,Very Low,Very Low,Very Low,Low,Very Low,Low,Very Low
536,palpitoad,8,170,75,65,55,65,55,69,"{water,ground}",273,"When they vibrate the bumps on their heads, they can make waves in water or earthquake-like vibrations on land.",384,1.0,1.1818181818181819,51.666666666666664,21.25,3,Medium,Low,Low,Low,Low,Medium,Low
537,seismitoad,15,620,105,95,75,85,75,74,"{water,ground}",273,They shoot paralyzing liquid from their head bumps. They use vibration to hurt their opponents.,509,1.0625,1.2,136.80555555555557,41.333333333333336,3,High,Medium,Medium,Medium,Medium,Medium,High
538,throh,13,555,120,100,85,30,85,45,{fighting},274,"When it tightens its belt, it becomes stronger. Wild Throh use vines to weave their own belts.",465,1.608695652173913,0.7647058823529411,956.25,42.69230769230769,1,High,Medium,Medium,Very Low,Medium,Very Low,Medium
539,sawk,14,510,75,125,75,30,75,85,{fighting},275,The sound of Sawk punching boulders and trees can be heard all the way from the mountains where they train.,465,1.9047619047619047,1.0333333333333334,764.5833333333334,36.42857142857143,1,Medium,High,Medium,Very Low,Medium,Medium,Medium
540,sewaddle,3,25,45,53,70,40,60,42,"{bug,grass}",276,Leavanny dress it in clothes they made for it when it hatched. It hides its head in its hood while it is sleeping.,310,1.23,0.7153846153846154,113.55555555555554,8.333333333333334,3,Very Low,Very Low,Low,Very Low,Low,Very Low,Low
541,swadloon,5,73,55,63,90,50,80,42,"{bug,grass}",276,Forests where Swadloon live have superb foliage because the nutrients they make from fallen leaves nourish the plant life.,380,1.176923076923077,0.6647058823529411,281.8888888888889,14.6,3,Low,Low,Medium,Low,Medium,Very Low,Low
542,leavanny,12,205,75,103,80,70,80,92,"{bug,grass}",276,"Upon finding a small Pokémon, it weaves clothing for it from leaves, using the cutters on its arms and sticky silk.",500,1.22,1.08125,121.8888888888889,17.083333333333332,3,Medium,High,Medium,Medium,Medium,High,High
543,venipede,4,53,30,45,59,30,39,57,"{bug,poison}",277,"Its bite injects a potent poison, enough to paralyze large bird Pokémon that try to prey on it.",260,1.5072463768115942,0.7653061224489796,134.88888888888889,13.25,3,Very Low,Very Low,Low,Very Low,Very Low,Low,Very Low
544,whirlipede,12,585,40,55,99,40,79,47,"{bug,poison}",277,"Protected by a hard shell, it spins its body like a wheel and crashes furiously into its enemies.",360,1.2941176470588236,0.5337078651685393,479.3333333333333,48.75,3,Very Low,Very Low,High,Very Low,Medium,Low,Low
545,scolipede,25,2005,60,100,89,55,69,112,"{bug,poison}",277,"With quick movements, it chases down its foes, attacking relentlessly with its horns until it prevails.",485,1.5241935483870968,0.9810126582278481,441.1388888888889,80.2,3,Low,Medium,Medium,Low,Medium,High,High
546,cottonee,3,6,40,27,60,37,50,66,"{grass,fairy}",278,"When attacked, it escapes by shooting cotton from its body. The cotton serves as a decoy to distract the attacker.",280,1.0,0.5818181818181818,181.2222222222222,2.0,2,Very Low,Very Low,Low,Very Low,Very Low,Medium,Very Low
547,whimsicott,7,66,60,67,85,77,75,116,"{grass,fairy}",278,"Like the wind, it can slip through any gap, no matter how small. It leaves balls of white fluff behind.",480,1.0,0.9,320.6666666666667,9.428571428571429,2,Low,Low,Medium,Medium,Medium,High,Medium
548,petilil,5,66,45,35,50,70,50,30,{grass},279,The leaves on its head are very bitter. Eating one of these leaves is known to refresh a tired body.,280,0.7083333333333334,1.05,163.88888888888889,13.2,2,Very Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low
549,lilligant,11,163,70,60,75,110,75,90,{grass},279,Even veteran Trainers face a challenge in getting its beautiful flower to bloom. This Pokémon is popular with celebrities.,480,0.7297297297297297,1.1333333333333333,258.3333333333333,14.818181818181818,2,Medium,Low,Medium,High,Medium,High,Medium
550,basculin,10,180,70,92,65,80,55,98,{water},280,"Red and blue Basculin get along so poorly, they’ll start fighting instantly. These Pokémon are very hostile.",460,1.162962962962963,1.4333333333333333,225.2222222222222,18.0,2,Medium,Medium,Low,Medium,Low,High,Medium
551,sandile,7,152,50,72,35,35,35,65,"{ground,dark}",281,They live buried in the sands of the desert. The sun-warmed sands prevent their body temperature from dropping.,292,1.5285714285714285,1.5285714285714285,228.8888888888889,21.714285714285715,3,Very Low,Low,Very Low,Very Low,Very Low,Low,Very Low
552,krokorok,10,334,60,82,45,45,45,74,"{ground,dark}",281,They live in groups of a few individuals. Protective membranes shield their eyes from sandstorms.,351,1.4111111111111112,1.4111111111111112,223.58333333333334,33.4,3,Low,Medium,Very Low,Very Low,Very Low,Medium,Low
553,krookodile,15,963,95,117,80,65,70,92,"{ground,dark}",281,"They never allow prey to escape. Their jaws are so powerful, they can crush the body of an automobile.",519,1.4592592592592593,1.2133333333333334,301.5833333333333,64.2,3,High,High,Medium,Low,Medium,High,High
554,darumaka,6,375,70,90,45,15,45,50,{fire},282,"When its internal fire is burning, it cannot calm down and it runs around. When the fire diminishes, it falls asleep.",315,2.25,1.1666666666666667,539.5833333333334,62.5,2,Medium,Medium,Very Low,Very Low,Very Low,Low,Low
555,darmanitan,13,929,105,140,55,30,55,95,{fire},282,"Its internal fire burns at 2,500° F, making enough power that it can destroy a dump truck with one punch.",480,2.2941176470588234,1.5454545454545454,1366.6666666666667,71.46153846153847,2,High,High,Low,Very Low,Low,High,Medium
556,maractus,10,280,75,86,67,106,67,60,{grass},283,It uses an up-tempo song and dance to drive away the bird Pokémon that prey on its flower seeds.,461,0.884393063583815,1.4328358208955223,235.80555555555557,28.0,1,Medium,Medium,Low,High,Low,Low,Medium
557,dwebble,3,145,50,65,85,35,35,55,"{bug,rock}",284,This Pokémon can easily melt holes in hard rocks with a liquid secreted from its mouth.,325,2.142857142857143,0.8333333333333334,303.47222222222223,48.333333333333336,2,Very Low,Low,Medium,Very Low,Very Low,Low,Low
558,crustle,14,2000,70,105,125,65,75,45,"{bug,rock}",284,"Competing for territory, Crustle fight viciously. The one whose boulder is broken is the loser of the battle.",485,1.6428571428571428,0.85,703.4722222222223,142.85714285714286,2,Medium,High,High,Low,Medium,Very Low,High
559,scraggy,6,118,50,75,70,35,70,48,"{dark,fighting}",285,"Its skin has a rubbery elasticity, so it can reduce damage by defensively pulling its skin up to its neck.",348,1.380952380952381,0.7857142857142857,211.66666666666666,19.666666666666668,2,Very Low,Low,Low,Very Low,Medium,Low,Low
560,scrafty,11,300,65,90,115,45,115,58,"{dark,fighting}",285,Groups of them beat up anything that enters their territory. Each can spit acidic liquid from its mouth.,488,1.28125,0.5869565217391305,745.5555555555555,27.272727272727273,2,Low,Medium,High,Very Low,High,Low,High
561,sigilyph,14,140,72,58,80,103,80,97,"{psychic,flying}",286,"They never vary the route they fly, because their memories of guarding an ancient city remain steadfast.",490,0.7540983606557377,1.00625,224.8888888888889,10.0,1,Medium,Low,Medium,High,Medium,High,High
562,yamask,5,15,38,30,85,55,65,30,{ghost},287,Each of them carries a mask that used to be its face when it was human. Sometimes they look at it and cry.,303,0.9583333333333334,0.5666666666666667,402.9166666666667,3.0,3,Very Low,Very Low,Medium,Low,Low,Very Low,Very Low
563,cofagrigus,17,765,58,50,145,95,105,30,{ghost},287,It has been said that they swallow those who get too close and turn them into mummies. They like to eat gold nuggets.,483,0.975,0.58,1492.9166666666667,45.0,3,Low,Very Low,High,High,High,Very Low,High
564,tirtouga,7,165,54,78,103,53,45,22,"{water,rock}",288,"Restored from a fossil, this Pokémon can dive to depths beyond half a mile.",355,1.846938775510204,0.8851351351351351,653.8055555555555,23.571428571428573,2,Low,Medium,High,Low,Very Low,Very Low,Low
565,carracosta,12,810,74,108,133,83,65,32,"{water,rock}",288,They can live both in the ocean and on land. A slap from one of them is enough to open a hole in the bottom of a tanker.,495,1.6283783783783783,0.9646464646464646,1021.5833333333334,67.5,2,Medium,High,High,Medium,Low,Very Low,High
566,archen,5,95,55,112,45,74,45,70,"{rock,flying}",289,"Said to be an ancestor of bird Pokémon, they were unable to fly and moved about by hopping from one branch to another.",401,1.319327731092437,2.066666666666667,532.4722222222223,19.0,2,Low,High,Very Low,Medium,Very Low,Medium,Low
567,archeops,14,320,75,140,65,112,65,110,"{rock,flying}",289,"They are intelligent and will cooperate to catch prey. From the ground, they use a running start to take flight.",567,1.1581920903954803,1.9384615384615385,789.5833333333334,22.857142857142858,2,Medium,High,Low,High,Low,High,Very High
568,trubbish,6,310,50,50,62,40,62,65,{poison},290,Inhaling the gas they belch will make you sleep for a week. They prefer unsanitary places.,329,1.0980392156862746,0.7258064516129032,78.80555555555556,51.666666666666664,2,Very Low,Very Low,Low,Very Low,Low,Low,Low
569,garbodor,19,1073,80,95,82,60,82,75,{poison},290,It clenches opponents with its left arm and finishes them off with foul-smelling poison gas belched from its mouth.,474,1.2464788732394365,0.9451219512195121,108.66666666666667,56.473684210526315,2,Medium,Medium,Medium,Low,Medium,Medium,Medium
570,zorua,7,125,40,65,40,80,40,65,{dark},291,"It changes into the forms of others to surprise them. Apparently, it often transforms into a silent child.",330,0.875,1.8125,250.0,17.857142857142858,2,Very Low,Low,Very Low,Medium,Very Low,Low,Low
571,zoroark,16,811,60,105,60,120,60,105,{dark},291,Bonds between these Pokémon are very strong. It protects the safety of its pack by tricking its opponents.,510,0.9166666666666666,1.875,650.0,50.6875,2,Low,High,Low,High,Low,High,High
572,minccino,4,58,55,50,40,40,40,75,{normal},292,"They greet one another by rubbing each other with their tails, which are always kept well groomed and clean.",300,1.125,1.125,158.33333333333334,14.5,2,Low,Very Low,Very Low,Very Low,Very Low,Medium,Very Low
573,cinccino,5,75,75,95,60,65,60,115,{normal},292,Their white fur is coated in a special oil that makes it easy for them to deflect attacks.,470,1.24,1.3333333333333333,413.88888888888886,15.0,2,Medium,Medium,Low,Low,Low,High,Medium
574,gothita,4,58,45,30,50,55,65,45,{psychic},293,Their ribbonlike feelers increase their psychic power. They are always staring at something.,290,0.6666666666666666,0.7391304347826086,113.88888888888887,14.5,3,Very Low,Very Low,Very Low,Low,Low,Very Low,Very Low
575,gothorita,7,180,60,45,70,75,85,55,{psychic},293,They use hypnosis to control people and Pokémon. Tales of Gothorita leading people astray are told in every corner.,390,0.71875,0.7741935483870968,175.0,25.714285714285715,3,Low,Very Low,Low,Medium,Medium,Low,Low
576,gothitelle,15,440,70,55,95,95,110,65,{psychic},293,Starry skies thousands of light-years away are visible in the space distorted by their intense psychic power.,490,0.7317073170731707,0.7317073170731707,380.5555555555555,29.333333333333332,3,Medium,Very Low,High,High,High,Low,High
577,solosis,3,10,45,30,40,105,50,20,{psychic},294,They drive away attackers by unleashing psychic power. They can use telepathy to talk with others.,290,0.45161290322580644,1.5,738.888888888889,3.3333333333333335,3,Very Low,Very Low,Very Low,High,Very Low,Very Low,Very Low
578,duosion,6,80,65,40,50,125,60,30,{psychic},294,"Since they have two divided brains, at times they suddenly try to take two different actions at once.",370,0.4864864864864865,1.5,938.8888888888887,13.333333333333334,3,Low,Very Low,Very Low,High,Low,Very Low,Low
579,reuniclus,10,201,110,65,75,125,85,30,{psychic},294,"When Reuniclus shake hands, a network forms between their brains, increasing their psychic power.",490,0.6666666666666666,1.1875,947.2222222222222,20.1,3,High,Low,Medium,High,Medium,Very Low,High
580,ducklett,5,55,62,44,50,44,50,55,"{water,flying}",295,These bird Pokémon are excellent divers. They swim around in the water eating their favorite food--peat moss.,305,1.0,0.88,39.47222222222222,11.0,2,Low,Very Low,Very Low,Very Low,Very Low,Low,Very Low
581,swanna,13,242,75,87,63,87,63,98,"{water,flying}",295,Swanna start to dance at dusk. The one dancing in the middle is the leader of the flock.,473,1.0,1.380952380952381,169.47222222222223,18.615384615384617,2,Medium,Medium,Low,Medium,Low,High,Medium
582,vanillite,4,57,36,50,50,65,60,44,{ice},296,The temperature of their breath is -58° F. They create snow crystals and make snow fall in the areas around them.,305,0.8,1.0454545454545454,92.1388888888889,14.25,3,Very Low,Very Low,Very Low,Low,Low,Very Low,Very Low
583,vanillish,11,410,51,65,65,80,75,59,{ice},296,"Snowy mountains are this Pokémon’s habitat. During an ancient ice age, they moved to southern areas.",395,0.8387096774193549,1.0357142857142858,92.1388888888889,37.27272727272727,3,Low,Low,Low,Medium,Medium,Low,Low
584,vanilluxe,13,575,71,95,85,110,95,79,{ice},296,"Swallowing large amounts of water, they make snow clouds inside their bodies and attack their foes with violent blizzards.",535,0.8780487804878049,1.1388888888888888,158.80555555555554,44.23076923076923,3,Medium,Medium,Medium,High,High,Medium,Very High
585,deerling,6,195,60,60,50,40,50,75,"{normal,grass}",297,"The color and scent of their fur changes to match the mountain grass. When they sense hostility, they hide in the grass.",335,1.2222222222222223,1.0,120.1388888888889,32.5,2,Low,Low,Very Low,Very Low,Very Low,Medium,Low
586,sawsbuck,19,925,80,100,70,60,70,95,"{normal,grass}",297,They migrate according to the seasons. People can tell the season by looking at Sawsbuck’s horns.,475,1.3076923076923077,1.1428571428571428,203.4722222222222,48.68421052631579,2,Medium,Medium,Low,Low,Medium,High,Medium
587,emolga,4,50,55,75,60,75,60,103,"{electric,flying}",298,The energy made in its cheeks’ electric pouches is stored inside its membrane and released while it is gliding.,428,1.0,1.25,258.88888888888886,12.5,1,Low,Low,Low,Medium,Low,High,Medium
588,karrablast,5,59,50,75,45,40,45,60,{bug},299,These mysterious Pokémon evolve when they receive electrical stimulation while they are in the same place as Shelmet.,315,1.411764705882353,1.2777777777777777,139.58333333333334,11.8,2,Very Low,Low,Very Low,Very Low,Very Low,Low,Low
589,escavalier,10,330,70,135,105,60,105,20,"{bug,steel}",299,"They fly around at high speed, striking with their pointed spears. Even when in trouble, they face opponents bravely.",495,1.4545454545454546,0.9285714285714286,1389.5833333333333,33.0,2,Medium,High,High,Low,High,Very Low,High
590,foongus,2,10,69,55,45,55,55,15,"{grass,poison}",300,"It lures people in with its Poké Ball pattern, then releases poison spores. Why it resembles a Poké Ball is unknown.",294,0.9090909090909091,1.1,280.0,5.0,2,Medium,Very Low,Very Low,Low,Low,Very Low,Very Low
591,amoonguss,6,105,114,85,70,85,80,30,"{grass,poison}",300,"It lures prey close by dancing and waving its arm caps, which resemble Poké Balls, in a swaying motion.",464,0.9393939393939394,1.1333333333333333,627.2222222222222,17.5,2,High,Medium,Low,Medium,Medium,Very Low,Medium
592,frillish,12,330,55,40,50,65,85,40,"{water,ghost}",301,"With its thin, veil-like arms wrapped around the body of its opponent, it sinks to the ocean floor.",335,0.6,0.7777777777777778,245.1388888888889,27.5,2,Low,Very Low,Very Low,Low,Medium,Very Low,Low
593,jellicent,22,1350,100,60,70,85,105,60,"{water,ghost}",301,"The fate of the ships and crew that wander into Jellicent’s habitat: all sunken, all lost, all vanished.",480,0.6842105263157895,0.8285714285714286,325.0,61.36363636363637,2,High,Low,Low,Medium,High,Low,Medium
594,alomomola,12,316,165,75,80,40,45,65,{water},302,The special membrane enveloping Alomomola has the ability to heal wounds.,470,1.8235294117647058,0.92,1713.888888888889,26.333333333333332,1,High,Low,Medium,Very Low,Very Low,Low,Medium
595,joltik,1,6,50,47,50,57,50,65,"{bug,electric}",303,Joltik that live in cities have learned a technique for sucking electricity from the outlets in houses.,319,0.9065420560747663,1.04,37.138888888888886,6.0,2,Very Low,Very Low,Very Low,Low,Very Low,Low,Low
596,galvantula,8,143,70,77,60,97,60,108,"{bug,electric}",303,"When attacked, they create an electric barrier by spitting out many electrically charged threads.",472,0.8726114649681529,1.45,328.55555555555554,17.875,2,Medium,Medium,Low,High,Low,High,Medium
597,ferroseed,6,188,44,50,91,24,86,10,"{grass,steel}",304,"When threatened, it attacks by shooting a barrage of spikes, which gives it a chance to escape by rolling away.",305,1.2818181818181817,0.4180790960451977,880.8055555555557,31.333333333333332,2,Very Low,Very Low,High,Very Low,Medium,Very Low,Very Low
598,ferrothorn,10,1100,74,94,131,54,116,20,"{grass,steel}",304,It fights by swinging around its three spiky feelers. A hit from these steel spikes can reduce a boulder to rubble.,489,1.3235294117647058,0.5991902834008097,1398.5833333333333,110.0,2,Medium,Medium,High,Low,High,Very Low,High
599,klink,3,210,40,55,70,45,60,30,{steel},305,The two minigears that mesh together are predetermined. Each will rebound from other minigears without meshing.,300,1.1904761904761905,0.7692307692307693,175.0,70.0,3,Very Low,Very Low,Low,Very Low,Low,Very Low,Very Low
600,klang,6,510,60,80,95,70,85,50,{steel},305,"By changing the direction in which it rotates, it communicates its feelings to others. When angry, it rotates faster.",440,1.1290322580645162,0.8333333333333334,230.55555555555554,85.0,3,Low,Medium,High,Medium,Medium,Low,Medium
601,klinklang,6,810,60,100,115,70,85,90,{steel},305,The gear with the red core is rotated at high speed for a rapid energy charge.,520,1.3870967741935485,0.85,330.55555555555554,135.0,3,Low,Medium,High,Medium,Medium,High,High
602,tynamo,2,3,35,55,40,45,40,60,{electric},306,"While one alone doesn’t have much power, a chain of many Tynamo can be as powerful as lightning.",275,1.1176470588235294,1.25,78.47222222222223,1.5,3,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Very Low
603,eelektrik,12,220,65,85,70,75,70,40,{electric},306,They coil around foes and shock them with electricity-generating organs that seem simply to be circular patterns.,405,1.0689655172413792,1.1428571428571428,189.58333333333334,18.333333333333332,3,Low,Medium,Low,Medium,Medium,Very Low,Low
604,eelektross,21,805,85,115,80,105,80,50,{electric},306,They crawl out of the ocean using their arms. They will attack prey on shore and immediately drag it into the ocean.,515,1.054054054054054,1.375,428.47222222222223,38.333333333333336,3,Medium,High,Medium,High,Medium,Low,High
605,elgyem,5,90,55,55,55,85,55,30,{psychic},307,"It uses its strong psychic power to squeeze its opponent’s brain, causing unendurable headaches.",335,0.7857142857142857,1.2727272727272727,253.47222222222226,18.0,2,Low,Very Low,Low,Medium,Low,Very Low,Low
606,beheeyem,10,345,75,75,75,125,95,40,{psychic},307,"It can manipulate an opponent’s memory. Apparently, it communicates by flashing its three different-colored fingers.",485,0.6818181818181818,1.1764705882352942,653.4722222222222,34.5,2,Medium,Low,Medium,High,High,Very Low,High
607,litwick,3,31,50,30,55,65,55,20,"{ghost,fire}",308,"Litwick shines a light that absorbs the life energy of people and Pokémon, which becomes the fuel that it burns.",275,0.7083333333333334,0.8636363636363636,245.13888888888889,10.333333333333334,3,Very Low,Very Low,Low,Low,Low,Very Low,Very Low
608,lampent,6,130,60,40,60,95,60,55,"{ghost,fire}",308,"This ominous Pokémon is feared. Through cities it wanders, searching for the spirits of the fallen.",370,0.6451612903225806,1.125,272.22222222222223,21.666666666666668,3,Low,Very Low,Low,High,Low,Low,Low
609,chandelure,10,343,60,55,90,145,90,80,"{ghost,fire}",308,"It absorbs a spirit, which it then burns. By waving the flames on its arms, it puts its foes into a hypnotic trance.",520,0.6170212765957447,1.1111111111111112,863.8888888888888,34.3,3,Low,Very Low,Medium,High,High,Medium,High
610,axew,6,180,46,87,60,30,40,57,{dragon},309,They use their tusks to crush the berries they eat. Repeated regrowth makes their tusks strong and sharp.,320,2.1,1.17,327.88888888888886,30.0,3,Very Low,Medium,Low,Very Low,Very Low,Low,Low
611,fraxure,10,360,66,117,70,40,50,67,{dragon},309,"Since a broken tusk will not grow back, they diligently sharpen their tusks on river rocks after they’ve been fighting.",410,2.077777777777778,1.3083333333333333,586.2222222222222,36.0,3,Low,High,Low,Very Low,Very Low,Medium,Medium
612,haxorus,18,1055,76,147,90,60,70,97,{dragon},309,They are kind but can be relentless when defending territory. They challenge foes with tusks that can cut steel.,540,1.823076923076923,1.29375,799.0,58.611111111111114,3,Medium,High,Medium,Low,Medium,High,Very High
613,cubchoo,5,85,55,70,40,60,40,40,{ice},310,"When it is not feeling well, its mucus gets watery and the power of its Ice-type moves decreases.",305,1.1,1.625,136.80555555555557,17.0,2,Low,Low,Very Low,Low,Very Low,Very Low,Very Low
614,beartic,26,2600,95,130,80,70,80,50,{ice},310,"It can make its breath freeze at will. Very able in the water, it swims around in northern seas and catches prey.",505,1.4,1.25,603.4722222222222,100.0,2,High,High,Medium,Medium,Medium,Low,High
615,cryogonal,11,1480,80,50,50,95,135,105,{ice},311,"When its body temperature goes up, it turns into steam and vanishes. When its temperature lowers, it returns to ice.",515,0.43478260869565216,0.7837837837837838,911.8055555555557,134.54545454545453,1,Medium,Very Low,Very Low,High,High,High,High
616,shelmet,4,77,50,40,85,40,65,25,{bug},312,"When attacked, it defends itself by closing the lid of its shell. It can spit a sticky, poisonous liquid.",305,1.1904761904761905,0.5333333333333333,378.4722222222222,19.25,2,Very Low,Very Low,Medium,Very Low,Low,Very Low,Very Low
617,accelgor,8,253,80,70,40,100,60,145,{bug},312,"When its body dries out, it weakens. So, to prevent dehydration, it wraps itself in many layers of thin membrane.",495,0.6875,1.7,1114.5833333333333,31.625,2,Medium,Low,Very Low,High,Low,High,High
618,stunfisk,7,110,109,66,84,81,99,32,"{ground,electric}",313,"Its skin is very hard, so it is unhurt even if stepped on by sumo wrestlers. It smiles when transmitting electricity.",471,0.8333333333333334,0.8032786885245902,617.5833333333334,15.714285714285714,1,High,Low,Medium,Medium,High,Very Low,Medium
619,mienfoo,9,200,45,85,50,55,50,65,{fighting},314,"In fights, they dominate with onslaughts of flowing, continuous attacks. With their sharp claws, they cut enemies.",350,1.2857142857142858,1.4,180.55555555555554,22.22222222222222,2,Very Low,Medium,Very Low,Low,Very Low,Low,Low
620,mienshao,14,355,65,125,60,95,60,105,{fighting},314,It wields the fur on its arms like a whip. Its arm attacks come with such rapidity that they cannot even be seen.,510,1.1935483870967742,1.8333333333333333,625.0,25.357142857142858,2,Low,High,Low,High,Low,High,High
621,druddigon,16,1390,77,120,90,60,90,48,{dragon},315,"It warms its body by absorbing sunlight with its wings. When its body temperature falls, it can no longer move.",485,1.4,1.0,538.1388888888888,86.875,1,Medium,High,Medium,Low,High,Low,High
622,golett,10,920,59,74,50,35,50,35,"{ground,ghost}",316,"The energy that burns inside it enables it to move, but no one has yet been able to identify this energy.",303,1.4588235294117646,1.09,184.25,92.0,2,Low,Low,Very Low,Very Low,Very Low,Very Low,Very Low
623,golurk,28,3300,89,124,80,55,80,55,"{ground,ghost}",316,It flies across the sky at Mach speeds. Removing the seal on its chest makes its internal energy go out of control.,483,1.511111111111111,1.11875,544.25,117.85714285714286,2,High,High,Medium,Low,Medium,Low,High
624,pawniard,5,102,45,85,70,40,40,60,"{dark,steel}",317,"Blades comprise this Pokémon’s entire body. If battling dulls the blades, it sharpens them on stones by the river.",340,1.9375,1.1363636363636365,280.5555555555556,20.4,3,Very Low,Medium,Low,Very Low,Very Low,Low,Low
625,bisharp,16,700,65,125,100,60,70,70,"{dark,steel}",317,"It leads a group of Pawniard. It battles to become the boss, but will be driven from the group if it loses.",490,1.7307692307692308,1.088235294117647,538.8888888888889,43.75,3,Low,High,High,Low,Medium,Medium,High
626,bouffalant,16,946,95,110,95,40,95,55,{normal},318,"Their fluffy fur absorbs damage, even if they strike foes with a fierce headbutt.",490,1.5185185185185186,0.7894736842105263,630.5555555555555,59.125,1,High,High,High,Very Low,High,Low,High
627,rufflet,5,105,70,83,50,37,50,60,"{normal,flying}",319,"They crush berries with their talons. They bravely stand up to any opponent, no matter how strong it is.",350,1.528735632183908,1.2,223.55555555555557,21.0,2,Medium,Medium,Very Low,Very Low,Very Low,Low,Low
628,braviary,15,410,100,123,75,57,75,80,"{normal,flying}",319,They fight for their friends without any thought about danger to themselves. One can carry a car while flying.,510,1.5,1.2,446.3333333333333,27.333333333333332,2,High,High,Medium,Low,Medium,Medium,High
629,vullaby,5,90,70,55,75,45,65,60,"{dark,flying}",320,Their wings are too tiny to allow them to fly. They guard their posteriors with bones that were gathered by Mandibuzz.,370,1.1818181818181819,0.7142857142857143,97.22222222222221,18.0,2,Medium,Very Low,Medium,Very Low,Low,Low,Low
630,mandibuzz,12,395,110,65,105,55,95,80,"{dark,flying}",320,It makes a nest out of bones it finds. It grabs weakened prey in its talons and hauls it to its nest of bones.,510,1.1333333333333333,0.6,408.3333333333333,32.916666666666664,2,High,Low,High,Low,High,Medium,High
631,heatmor,14,580,85,97,66,105,66,65,{fire},321,It breathes through a hole in its tail while it burns with an internal fire. Durant is its prey.,484,0.9532163742690059,1.5303030303030303,258.88888888888886,41.42857142857143,1,Medium,Medium,Low,High,Low,Low,High
632,durant,3,330,58,109,112,48,48,109,"{bug,steel}",322,"They attack in groups, covering themselves in steel armor to protect themselves from Heatmor.",484,2.3020833333333335,0.98125,872.5555555555555,110.0,1,Low,High,High,Low,Very Low,High,High
633,deino,8,173,52,65,50,45,50,38,"{dark,dragon}",323,"It tends to bite everything, and it is not a picky eater. Approaching it carelessly is dangerous.",300,1.2105263157894737,1.1,66.33333333333333,21.625,3,Low,Low,Very Low,Very Low,Very Low,Very Low,Very Low
634,zweilous,14,500,72,85,70,65,70,58,"{dark,dragon}",323,"After it has eaten up all the food in its territory, it moves to another area. Its two heads do not get along.",420,1.1481481481481481,1.0714285714285714,66.33333333333333,35.714285714285715,3,Medium,Medium,Low,Low,Medium,Low,Medium
635,hydreigon,18,1600,92,105,90,125,90,98,"{dark,dragon}",323,"This brutal Pokémon travels the skies on its six wings. Anything that moves seems like a foe to it, triggering its attack.",600,0.9069767441860465,1.2777777777777777,153.0,88.88888888888889,3,High,High,Medium,High,High,High,Very High
636,larvesta,11,288,55,85,55,50,55,60,"{bug,fire}",324,"This Pokémon was believed to have been born from the sun. When it evolves, its entire body is engulfed in flames.",360,1.3333333333333333,1.2272727272727273,133.33333333333334,26.181818181818183,2,Low,Medium,Low,Low,Low,Low,Low
637,volcarona,16,460,85,60,65,135,105,100,"{bug,fire}",324,"When volcanic ash darkened the atmosphere, it is said that Volcarona’s fire provided a replacement for the sun.",550,0.5208333333333334,1.1470588235294117,647.2222222222223,28.75,2,Medium,Low,Low,High,High,High,Very High
638,cobalion,21,2500,91,90,129,90,72,108,"{steel,fighting}",325,This legendary Pokémon battled against humans to protect Pokémon. Its personality is calm and composed.,580,1.3518518518518519,0.8955223880597015,317.22222222222223,119.04761904761905,1,High,Medium,High,Medium,Medium,High,Very High
639,terrakion,19,2600,91,129,90,72,90,108,"{rock,fighting}",326,This Pokémon came to the defense of Pokémon that had lost their homes in a war among humans.,580,1.3518518518518519,1.1166666666666667,317.22222222222223,136.8421052631579,1,High,High,Medium,Medium,High,High,Very High
640,virizion,20,2000,91,90,72,90,129,108,"{grass,fighting}",327,This Pokémon fought humans in order to protect its friends. Legends about it continue to be passed down.,580,0.7397260273972602,0.8955223880597015,317.22222222222223,100.0,1,High,Medium,Medium,Medium,High,High,Very High
641,tornadus,15,630,79,115,70,125,80,111,{flying},328,The lower half of its body is wrapped in a cloud of energy. It zooms through the sky at 200 mph.,580,0.9024390243902439,1.6,440.88888888888886,42.0,1,Medium,High,Low,High,Medium,High,Very High
642,thundurus,15,610,79,115,70,125,80,111,"{electric,flying}",329,Countless charred remains mar the landscape of places through which Thundurus has passed.,580,0.9024390243902439,1.6,440.88888888888886,40.666666666666664,1,Medium,High,Low,High,Medium,High,Very High
643,reshiram,32,3300,100,120,100,150,120,90,"{dragon,fire}",330,"This Pokémon appears in legends. It sends flames into the air from its tail, burning up everything around it.",680,0.8148148148148148,1.2272727272727273,388.8888888888889,103.125,1,High,High,High,High,High,High,Very High
644,zekrom,29,3450,100,150,120,120,100,90,"{dragon,electric}",331,"Concealing itself in lightning clouds, it flies throughout the Unova region. It creates electricity in its tail.",680,1.2272727272727273,1.2272727272727273,388.8888888888889,118.96551724137932,1,High,High,High,High,High,High,Very High
